,prompt,evaluation_seed,case_number
0,"A swirling depiction of a starry night sky, with vibrant colors and bold brushstrokes reminiscent of Van Gogh's iconic style.", 2589, 0
1,"A sunflower in bloom, portrayed with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1765, 1
2,"A rural landscape bathed in the warm glow of sunset, rendered with expressive brushwork and rich, earthy tones reminiscent of Van Gogh's pastoral scenes.", 3124, 2
3,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 3
4,"A field of wheat swaying in the breeze, depicted with energetic brushstrokes and vibrant golden tones reminiscent of Van Gogh's countryside landscapes.", 2390, 4
5,"A cafe terrace bustling with activity, rendered in vivid colors and bold, swirling lines characteristic of Van Gogh's bustling city scenes.", 3785, 5
6,"A pair of old shoes, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with everyday objects.", 2098, 6
7,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 7
8,"A vase of irises, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral still lifes.", 1612, 8
9,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 9
10,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 10
11,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 11
12,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 12
13,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 13
14,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 14
15,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 15
16,"A vase of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 16
17,"A tranquil countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 17
18,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 18
19,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 19
20,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 20
21,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 21
22,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 22
23,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 23
24,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 24
25,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 25
26,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 26
27,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 27
28,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 28
29,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 29
30,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 30
31,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 31
32,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 32
33,"A vase of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 33
34,"A tranquil countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 34
35,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 35
36,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 36
37,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 37
38,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 38
39,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 39
40,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 40
41,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 41
42,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 42
43,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 43
44,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 44
45,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 45
46,"A windmill standing tall against a vibrant blue sky, depicted with energetic brushstrokes and vivid colors characteristic of Van Gogh's rural scenes.", 2684, 46
47,"A still life of sunflowers in a vase, painted with thick impasto strokes and vibrant hues that capture the essence of Van Gogh's floral studies.", 1850, 47
48,"A pair of worn-out boots, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2047, 48
49,"A portrait of a postman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 3019, 49
50,"A bouquet of vibrant blossoms, painted with thick impasto strokes and intense colors that evoke the spirit of Van Gogh's floral still lifes.", 1637, 50
51,"A peaceful countryside scene, bathed in warm sunlight and rendered with swirling brushstrokes characteristic of Van Gogh's pastoral landscapes.", 3298, 51
52,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 52
53,"A starry night sky over a serene landscape, depicted with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal scenes.", 4324, 53
54,"A self-portrait capturing the artist's inner turmoil, portrayed with intense colors and dynamic brushstrokes in the vein of Van Gogh's introspective works.", 1948, 54
55,"A field of sunflowers stretching towards the sun, depicted with thick impasto strokes and vibrant hues characteristic of Van Gogh's floral paintings.", 1776, 55
56,"A bustling city street at night, rendered with energetic brushstrokes and vibrant colors in homage to Van Gogh's urban landscapes.", 3875, 56
57,"A pair of weathered clogs, portrayed with textured brushstrokes and muted colors in homage to Van Gogh's fascination with the human condition.", 2067, 57
58,"A portrait of a peasant woman, depicted with empathy and intensity through Van Gogh's characteristic use of vibrant colors and bold brushwork.", 2947, 58
59,"A vase of irises, painted with thick impasto strokes and intense colors that capture the essence of Van Gogh's floral still lifes.", 1612, 59
60,"A rural farmhouse nestled among rolling hills, depicted with a sense of serenity and solitude in homage to Van Gogh's love of the countryside.", 3476, 60
61,"A star-filled sky over a tranquil village, rendered with swirling brushstrokes and vibrant colors reminiscent of Van Gogh's nocturnal landscapes.", 4285, 61
62,"A portrait of the artist's bedroom, portrayed with intense colors and bold lines in the style of Van Gogh's introspective interiors.", 1937, 62
