,prompt,evaluation_seed,case_number
0,"A still life of apples and pears on a table, painted with the structured brushwork and subdued palette characteristic of Cézanne's still life compositions.", 2147, 0
1,"A landscape featuring Mont Sainte-Victoire, depicted with Cézanne's characteristic geometric forms and exploration of light and space.", 2985, 1
2,"A portrait of a woman with a vibrant shawl, rendered with Cézanne's unique approach to capturing form through intersecting planes and color harmonies.", 3274, 2
3,"A bowl of fruit on a patterned cloth, painted with Cézanne's meticulous attention to detail and exploration of volume and perspective.", 2756, 3
4,"A view of a countryside farm, portrayed with Cézanne's simplified shapes and emphasis on the underlying geometric structure of the landscape.", 3112, 4
5,"A still life of peaches and a vase, arranged with Cézanne's careful balance of forms and painted with his characteristic textural brushwork.", 2318, 5
6,"A series of apples piled in a bowl, painted with Cézanne's repeated studies of form and light to capture the essence of the subject.", 2643, 6
7,"A landscape of a forest path, depicted with Cézanne's use of rhythmic brushstrokes and exploration of depth and perspective.", 2987, 7
8,"A portrait of a man in a straw hat, rendered with Cézanne's bold yet controlled brushwork and attention to the structure of the human face.", 3215, 8
9,"A still life of a ginger jar and fruit, painted with Cézanne's careful arrangement of objects and exploration of color relationships.", 2496, 9
10,"A view of the artist's studio, depicted with Cézanne's characteristic treatment of space and light, conveying a sense of tranquility and introspection.", 2854, 10
11,"A portrait of a young girl with a flower, painted with Cézanne's sensitive handling of light and shadow to capture the subject's inner essence.", 3127, 11
12,"A landscape of a rolling countryside, portrayed with Cézanne's emphasis on the underlying geometric forms and the play of light and shadow.", 2998, 12
13,"A still life of a vase and flowers, arranged with Cézanne's meticulous attention to composition and painted with his distinctive color palette.", 2376, 13
14,"A view of a riverside village, depicted with Cézanne's simplified forms and bold use of color to convey the essence of the scene.", 3014, 14
15,"A portrait of a woman in a blue dress, rendered with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3178, 15
16,"A still life of a basket of fruit, painted with Cézanne's nuanced treatment of light and shadow to create a sense of depth and volume.", 2234, 16
17,"A landscape featuring a rocky outcrop, portrayed with Cézanne's use of dynamic brushstrokes and layered colors to evoke the rugged terrain.", 3092, 17
18,"A portrait of a man with a pipe, rendered with Cézanne's distinctive approach to capturing the sitter's likeness through simplified forms and bold color choices.", 3246, 18
19,"A still life of a bowl of cherries, painted with Cézanne's careful observation of light and shadow to create a sense of three-dimensionality.", 2413, 19
20,"A rustic farmhouse surrounded by trees, painted with Cézanne's characteristic use of geometric shapes and bold colors to convey solidity and form.", 2873, 20
21,"A portrait of a woman in a floral dress, rendered with Cézanne's unique blend of realism and abstraction, capturing the essence of the sitter.", 3197, 21
22,"A still life of a copper pot and onions, painted with Cézanne's meticulous attention to detail and exploration of texture and form.", 2276, 22
23,"A view of a sun-drenched orchard, portrayed with Cézanne's vibrant palette and dynamic brushwork to convey the lushness of nature.", 3056, 23
24,"A portrait of a man with a stern expression, rendered with Cézanne's bold brushstrokes and intense use of color to convey the sitter's character.", 3289, 24
25,"A still life of a basket of fruit, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the objects.", 2298,25
26,"A portrait of a man with a contemplative expression, painted with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3195, 26
27,"A still life of a bowl of cherries, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2310, 27
28,"A view of a sunlit riverbank, portrayed with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 3030, 28
29,"A still life of a pitcher and fruit on a table, painted with Cézanne's characteristic attention to form and composition, creating a sense of solidity and volume.", 2421, 29
30,"A landscape of a rocky hillside, portrayed with Cézanne's bold brushstrokes and vibrant colors to convey the rugged beauty of the terrain.", 3085, 30
31,"A portrait of a young girl with a book, rendered with Cézanne's exploration of light and shadow, capturing the subject's contemplative expression.", 3147, 31
32,"A still life of a vase and flowers, painted with Cézanne's distinctive blend of realism and abstraction, capturing the essence of the subject.", 2396, 32
33,"A view of a sunlit garden, portrayed with Cézanne's use of color and light to convey the warmth and tranquility of the scene.", 3045, 33
34,"A portrait of a man with a mustache, painted with Cézanne's characteristic use of geometric forms and bold brushwork to convey the sitter's personality.", 3263, 34
35,"A still life of a basket of apples, arranged with Cézanne's careful attention to composition and form, creating a sense of balance and harmony.", 2257, 35
36,"A landscape of a winding river, depicted with Cézanne's structured composition and careful observation of light and shadow to create depth and atmosphere.", 2983, 36
37,"A portrait of a woman with a parasol, painted with Cézanne's unique approach to capturing the play of light and shadow on the subject's face.", 3185, 37
38,"A still life of a bowl of oranges, painted with Cézanne's characteristic solidity and sense of volume, capturing the tactile quality of the fruit.", 2305, 38
39,"A view of a sun-drenched vineyard, portrayed with Cézanne's bold use of color and dynamic brushwork to convey the vibrancy of the scene.", 3069, 39
40,"A portrait of a man in a hat, rendered with Cézanne's exploration of form and volume through the careful arrangement of color and shape.", 3234, 40
41,"A still life of a vase of flowers on a table, painted with Cézanne's unique blend of realism and abstraction, capturing the essence of the subject.", 2387, 41
42,"A landscape of a rural path, depicted with Cézanne's characteristic use of geometric shapes and bold colors to convey the solidity of the landscape.", 3002, 42
43,"A portrait of a woman with a contemplative expression, painted with Cézanne's exploration of light and shadow to convey the sitter's inner thoughts.", 3158, 43
44,"A still life of a bowl of pears, arranged with Cézanne's meticulous attention to composition and form, creating a sense of balance and harmony.", 2289, 44
